"Month","country_name","Year","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
1,"Congo - Kinshasa",2023,72918,0,0,19474,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Congo - Kinshasa",2024,5508,0,0,823,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Costa Rica",2022,14908506,13897911,14794956,29198582,28009444,29127333,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"Costa Rica",2023,18904227,17390913,18409198,28889068,27732472,28656419,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"Costa Rica",2024,19312689,16858825,18446809,28409500,26450820,28146413,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"Costa Rica",2025,18521235,14664295,18176730,25702335,22286694,25506524,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"Costa Rica",2026,15979695,12813887,13727435,22233013,19925256,21169889,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"Cuba",2022,1074671,0,0,189410,0,0,FALSE,NA,NA,FALSE
1,"Cuba",2023,1136820,0,0,24901,0,0,FALSE,NA,NA,FALSE
1,"Cuba",2024,656404,0,0,4387,0,0,FALSE,NA,NA,FALSE
1,"Cuba",2025,905675,0,0,71386,0,0,FALSE,NA,NA,FALSE
1,"Cuba",2026,829199,0,0,143324,0,0,FALSE,NA,NA,FALSE
1,"Côte d’Ivoire",2022,33454191,6602796,6614122,18652166,4134047,4140102,TRUE,"UK-Cote d'Ivoire Stepping Stone EPA",NA,FALSE
1,"Côte d’Ivoire",2023,27557687,11177699,11208086,13193147,5955131,5961911,TRUE,"UK-Cote d'Ivoire Stepping Stone EPA",NA,FALSE
1,"Côte d’Ivoire",2024,46484286,8514288,8521192,17965106,4201671,4202194,TRUE,"UK-Cote d'Ivoire Stepping Stone EPA",NA,FALSE
1,"Côte d’Ivoire",2025,89035340,27079388,27190574,18281755,5836100,5928706,TRUE,"UK-Cote d'Ivoire Stepping Stone EPA",NA,FALSE
